top - 13:38:20 up  1:12,  0 users,  load average: 0.40, 0.21, 0.36
Tasks: 166 total,   2 running, 164 sleeping,   0 stopped,   0 zombie
%Cpu(s): 49.2 us, 15.9 sy,  0.0 ni,  4.8 id,  0.0 wa,  0.0 hi, 30.2 si,  0.0 st
MiB Mem :  16009.2 total,  12561.6 free,    829.0 used,   2618.6 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  14936.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     70 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru+
     72 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     74 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_bufi+
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kverityd
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
    159 root      20   0   43724  16024  14976 S   0.0   0.1   0:00.76 systemd+
    180 root      20   0   13440   6636   5240 S   0.0   0.0   0:00.12 systemd+
    195 systemd+  20   0   15980   6796   5860 S   0.0   0.0   0:00.18 systemd+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    253 root      20   0       0      0      0 S   0.0   0.0   0:00.27 jbd2/sd+
    254 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    277 systemd+  20   0   12512   6424   5572 S   0.0   0.0   0:00.25 systemd+
    334 message+  20   0    5520   3524   3032 S   0.0   0.0   0:00.43 dbus-da+
    369 root      20   0  715432  17212   9456 S   0.0   0.1   0:00.92 google_+
    371 ntp       20   0   82024   3088   2528 S   0.0   0.0   0:00.00 chronyd
    372 root      20   0  721968  22336  14016 S   0.0   0.1   0:00.85 google_+
    377 root      20   0    4260   2048   1932 S   0.0   0.0   0:00.00 agetty
    425 root      20   0 1083948  12764   7576 S   0.0   0.1   0:00.03 device_+
    442 root      20   0   10824   5764   4892 S   0.0   0.0   0:00.19 systemd+
    452 root      20   0    6248   4892   4288 S   0.0   0.0   0:00.01 sshd
   1721 root      20   0 1132068  52968  29200 S   0.0   0.3   0:04.16 node-pr+
   1771 root      20   0    5360   3096   2700 S   0.0   0.0   0:00.24 bash
   1772 root      20   0    5360   3132   2724 S   0.0   0.0   0:00.23 bash
   2031 root      20   0  713944  11944   6900 S   0.0   0.1   0:02.07 contain+
   2051 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
   2087 root      20   0 1268400  46368  33956 S   0.0   0.3   0:01.50 kube-pr+
   2176 root      20   0  713944  13412   7816 S   0.0   0.1   0:04.50 contain+
   2196 65535     20   0     972      4      0 S   0.0   0.0   0:00.28 pause
   2701 root      20   0  713944  12088   6996 S   0.0   0.1   0:02.07 contain+
   2813 65535     20   0     972      4      0 S   0.0   0.0   0:00.37 pause
   2898 root      20   0  714200  13932   7972 S   0.0   0.1   0:07.93 contain+
   2936 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
   3505 root      20   0  287904  31524  22744 S   0.0   0.2   0:07.60 fluent-+
   3884 root      20   0  716552  14944  10224 S   0.0   0.1   0:00.27 csi-nod+
   4019 chronos   20   0  751020  64756  35132 S   0.0   0.4   0:08.44 otelsvc
   4335 chronos   20   0  728352  39344  17408 S   0.0   0.2   0:03.95 fluent-+
   4735 root      20   0 1178572  20200  15456 S   0.0   0.1   0:00.11 gce-pd-+
  15521 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
  15875 root      20   0  713944  12540   7372 S   0.0   0.1   0:01.57 contain+
  15908 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
  15942 root      20   0  713688  12140   6928 S   0.0   0.1   0:01.25 contain+
  15964 65535     20   0     972      4      0 S   0.0   0.0   0:00.00 pause
  15985 root      20   0  713944  12508   7312 S   0.0   0.1   0:01.30 contain+
  16006 65535     20   0     972      4      0 S   0.0   0.0   0:00.27 pause
  16192 root      20   0    2312   1820   1512 S   0.0   0.0   0:00.05 manage-+
  16323 root      20   0 2155432  72348  23036 S   0.0   0.4   0:22.54 contain+
  16347 root      20   0 1442676  67828  29000 S   0.0   0.4   0:01.37 dockerd
  16752 root      20   0  784824 117848  54036 S   0.0   0.7   0:20.09 cilium-+
  16878 root      20   0  759588  62508  39904 S   0.0   0.4   0:04.00 cilium-+
  17171 root      20   0  706188   4456   3648 S   0.0   0.0   0:00.03 cilium-+
  17405 root      20   0  713944  12824   7868 S   0.0   0.1   0:01.25 contain+
  17425 65535     20   0     972      4      0 S   0.0   0.0   0:00.30 pause
  17465 root      20   0  713944  11272   6552 S   0.0   0.1   0:01.24 contain+
  17488 chronos   20   0     972      4      0 S   0.0   0.0   0:00.36 pause
  17522 chronos   20   0  111852   7856   6744 S   0.0   0.0   0:00.53 404-ser+
  17563 root      20   0  713944  12208   6796 S   0.0   0.1   0:02.43 contain+
  17586 65535     20   0     972      4      0 S   0.0   0.0   0:00.37 pause
  17617 chronos   20   0  130760  19624  16116 S   0.0   0.1   0:00.46 cluster+
  17655 root      20   0  713944  13048   7864 S   0.0   0.1   0:02.49 contain+
  17676 chronos   20   0     972      4      0 S   0.0   0.0   0:00.31 pause
  17752 chronos   20   0  135248  32244  21840 S   0.0   0.2   0:00.54 event-e+
  17781 root      20   0  713752  12236   7060 S   0.0   0.1   0:01.29 contain+
  17821 chronos   20   0     972      4      0 S   0.0   0.0   0:00.32 pause
  17828 chronos   20   0  134856  24636  19156 S   0.0   0.2   0:00.36 monitor
  17884 root      20   0  713688  12000   6532 S   0.0   0.1   0:01.31 contain+
  17904 chronos   20   0     972      4      0 S   0.0   0.0   0:00.33 pause
  17939 chronos   20   0  715856  17056  10188 S   0.0   0.1   0:01.22 proxy-a+
  17959 root      20   0  713688  11628   6932 S   0.0   0.1   0:01.28 contain+
  17983 65535     20   0     972      4      0 S   0.0   0.0   0:00.28 pause
  18017 chronos   20   0  715600  16780  10112 S   0.0   0.1   0:01.36 proxy-a+
  18053 65532     20   0  130760  18280  14948 S   0.0   0.1   0:00.73 cluster+
  18125 root      20   0  713944  13400   8076 S   0.0   0.1   0:04.63 contain+
  18145 65535     20   0     972      4      0 S   0.0   0.0   0:00.32 pause
  18178 nobody    20   0  745656  43700  30660 S   0.0   0.3   0:05.58 metrics+
  18193 root      20   0  713688  12956   7120 S   0.0   0.1   0:04.88 contain+
  18213 65535     20   0     972      4      0 S   0.0   0.0   0:00.30 pause
